is_treatment,group_name,y
0,1,-9.481913329725707
1,1,-7.846530118092661
1,1,-11.170882386400477
1,1,-8.789130050680335
1,1,-9.874289555172647
0,1,-11.761959272528342
1,1,-10.141809273835133
1,1,-7.968487100159338
1,1,-8.99206181559165
0,1,-8.985306948469528
0,1,-10.895925656075454
0,1,-10.677207605659667
0,1,-9.690481621268162
0,1,-10.031145724170605
0,1,-8.267131825838842
1,1,-9.528238739679775
0,1,-10.07476215328381
1,1,-8.915008109317222
0,1,-11.824614212525514
1,1,-10.27705784737002
1,1,-8.104481597655129
0,1,-9.97128741708804
1,1,-10.593688426237097
0,1,-9.226501452638546
1,1,-8.569828316258615
0,1,-9.587465971825408
0,0,-7.094851258039537
0,0,-2.8536764926787797
0,0,-3.5092180033624527
0,0,-4.978806712267506
1,0,-2.724839870228897
0,0,-4.372173205602032
0,0,-5.2072067118237335
0,0,-3.6758164242736457
1,0,-4.375619041754017
1,0,-4.105979462905555
0,0,-5.445530630758579
1,0,-4.856271770972187
0,0,-4.7525819271170695
0,0,-4.108095161435
0,0,-5.260569575270319
1,0,-4.416353486477141
1,0,-3.752225665789544
1,0,-3.244981950306932
1,0,-3.506281146853577
1,0,-1.6960473530572573
1,0,-3.83470224032184
1,0,-4.6097177693316995
0,0,-3.8702028792556042
1,0,-5.200601968993764
1,0,-3.1849062658774634
0,0,-6.382795342554163
0,0,-6.158215289264001
0,0,-3.8119249819456815
0,0,-4.524668217925613
1,0,-4.311631490671247
0,0,-3.930953003092182
1,0,-2.474964836637522
1,0,-3.38802919163356
0,0,-4.823144373122817
1,0,-4.898827264189809
0,0,-5.783099837180436
1,0,-4.317312638354878
1,0,-3.4286073818585883
0,0,-2.8519630169503487
1,0,-4.8211402551624145
1,0,-4.702754436156733
1,0,-4.685449203178292
1,0,-5.502701121657584
0,0,-4.888389382291507
0,0,-3.329036856162724
0,0,-6.525913393005705
1,0,-2.833004386032903
1,0,-4.9617297529590125
1,0,-3.6024073435183803
0,0,-4.499801988863724
1,0,-2.078196099084291
1,0,-4.202107420025385
1,0,-3.651256904991067
0,0,-2.2784969620825377
1,0,-4.964073339699127
1,0,-3.9516885745290438
0,0,-5.4244360352192125
1,0,-3.8000952828291403
0,0,-4.850113941757405
0,0,-4.832130246193749
1,0,-5.052864233179415
1,0,-2.430960479033386
0,0,-5.719723487564594
1,0,-3.0561188385137195
0,0,-7.087260572548621
0,0,-3.454712976009603
1,0,-5.041413526194269
0,0,-3.143264462277336
0,0,-4.6623401735100805
0,0,-5.395539330598859
0,0,-4.175454576600026
0,0,-4.729972288336878
1,0,-3.5006017363098243
1,0,-4.240865358293139
0,0,-2.8866045579150934
1,0,-4.958029981908511
1,0,-4.349140083877446
1,0,-6.2752098480016665
0,0,-5.343103439165773
0,0,-3.761728059828747
1,0,-4.404703174006567
0,0,-5.412491987147612
0,0,-4.787512394749229
